country_name,country_code,income_tier,year,mortality_u5,nutrition_stunting,population,cbr_real,annual_births,cate_effect,cate_se,cate_ci_lower,cate_ci_upper,lives_saved_2.5pct,lives_saved_5.0pct,lives_saved_10.0pct
Myanmar,MMR,Lower middle income,2023,38.1,26.7,54133798.0,16.696,903817.8914080001,0.7440110878112004,0.22782906198754158,0.2974661263156194,1.1905560493067824,1681.126331424229,3362.252662848458,6724.505325696916
Angola,AGO,Lower middle income,2023,50.5,37.6,36749906.0,37.588,1381355.4667280002,0.48109912135487615,0.2655900391207263,-0.03945735532174738,1.0016555980314996,1661.4222533039895,3322.844506607979,6645.689013215958
Kenya,KEN,Lower middle income,2023,39.6,17.6,55339003.0,27.106,1500019.015318,0.4166177253044307,0.21627124015309446,-0.007273905395634328,0.8405093560044959,1562.3362751879429,3124.6725503758857,6249.3451007517715
Philippines,PHL,Upper middle income,2023,27.0,26.7,114891199.0,16.019,1840442.1167809998,0.33697660409434954,0.32060257325876007,-0.29140443949282013,0.9653576476815194,1550.464836362694,3100.929672725388,6201.859345450776
Afghanistan,AFG,Low income,2023,54.9,44.6,41454761.0,35.437,1469032.3655569998,0.4193248979032847,0.46036700203290337,-0.48299442608120624,1.3216442218877749,1540.0046167595244,3080.009233519049,6160.018467038098
Malawi,MWI,Low income,2023,49.6,35.5,21104482.0,31.381,662279.749642,0.9242894360678068,0.35504694509492185,0.22839742368176008,1.6201814484538537,1530.3454407893312,3060.6908815786624,6121.381763157325
Viet Nam,VNM,Upper middle income,2023,17.8,18.2,100352192.0,13.831,1387971.167552,0.4377422500763834,0.2625891277552308,-0.0769324403238692,0.9524169404766356,1518.9340548133935,3037.868109626787,6075.736219253574
Colombia,COL,Upper middle income,2023,11.9,12.7,52321152.0,13.475,705027.5231999999,0.8345098335364746,0.16573050495651995,0.5096780438216955,1.1593416232512537,1470.8810025606622,2941.7620051213244,5883.524010242649
Peru,PER,Upper middle income,2023,13.3,11.5,33845617.0,15.944,539634.517448,0.9963219666738223,0.42221772674843205,0.16877522224689567,1.8238687111007492,1344.124309272176,2688.248618544352,5376.497237088704
Uzbekistan,UZB,Lower middle income,2023,13.7,6.5,35652307.0,26.465,943538.3047549999,0.5542562554034732,0.27734730541627484,0.010655536787574582,1.0978569740193718,1307.4050190581186,2614.810038116237,5229.620076232474
Rwanda,RWA,Low income,2023,38.8,33.1,13954471.0,28.348,395581.343908,1.295346930045597,0.38250925458476254,0.5456287910594624,2.0450650690317316,1281.0376985363484,2562.075397072697,5124.150794145394
"Iran, Islamic Rep.",IRN,Upper middle income,2023,11.7,4.8,90608707.0,12.951,1173473.364357,0.42742368963573274,0.1567686405950252,0.12015715406948324,0.734690225201982,1253.9257877068137,2507.8515754136274,5015.703150827255
Argentina,ARG,Upper middle income,2023,9.7,8.7,45538401.0,11.064,503836.86866400007,0.9627893909873917,0.07934807952761086,0.8072671551132751,1.1183116268615096,1212.7219798450178,2425.4439596900356,4850.887919380071
