country_name,country_code,income_tier,year,mortality_u5,nutrition_stunting,population,cbr_real,annual_births,cate_effect,cate_se,cate_ci_lower,cate_ci_upper,lives_saved_2.5pct,lives_saved_5.0pct,lives_saved_10.0pct
Cabo Verde,CPV,Upper middle income,2023,11.6,6.0,522331.0,12.33,6440.34123,0.3262904715956097,0.17927474334903143,-0.02508802536849203,0.6776689685597113,5.2535549429333726,10.507109885866745,21.01421977173349
Samoa,WSM,Upper middle income,2023,15.3,7.3,216663.0,25.401,5503.456863,0.3441748209230882,0.19011330835967,-0.028447263461865102,0.7167969053080413,4.7353782007024146,9.470756401404829,18.941512802809658
Vanuatu,VUT,Lower middle income,2023,17.5,28.9,320409.0,28.05,8987.472450000001,0.17026265405185645,0.16216049534821592,-0.14757191683064683,0.4880972249343595,3.8255772813873525,7.651154562774705,15.30230912554941
Kiribati,KIR,Lower middle income,2023,54.5,15.2,132530.0,25.813,3420.99689,0.3414850530610178,0.089722311517813,0.16562932248610424,0.5173407836359312,2.920548261258067,5.841096522516134,11.682193045032268
Marshall Islands,MHL,Upper middle income,2023,27.6,34.8,38827.0,21.137,820.686299,0.8465949671892479,0.2211852874305335,0.41307180382540226,1.2801181305530935,1.7369722259364253,3.4739444518728506,6.947888903745701
Tonga,TON,Upper middle income,2023,9.8,2.2,104597.0,23.117,2417.9688490000003,0.2577908700544314,0.270671816746648,-0.27272589076899856,0.7883076308778614,1.5583257333705551,3.1166514667411103,6.2333029334822205
Naoero,NRU,High income,2023,8.7,15.7,11875.0,25.505,302.871875,0.9339845893168378,0.10638142286461233,0.7254770005021989,1.1424921781314792,0.7071941594687391,1.4143883189374782,2.8287766378749564
Tuvalu,TUV,Upper middle income,2023,19.8,5.7,9816.0,23.075,226.5042,0.4536502440103915,0.17235144821844534,0.11584140550223865,0.7914590825185444,0.2568842139984463,0.5137684279968926,1.0275368559937852
"Venezuela, RB",VEN,Lower middle income,2023,24.2,13.4,28300854.0,15.087,426974.984298,-0.050617034842123355,0.3027245947349069,-0.643957240522541,0.5427231708382942,0.0,0.0,0.0
West Bank and Gaza,PSE,Lower middle income,2023,41.9,8.7,5165775.0,27.062,139796.20305,-0.04849423410261314,0.3007807213593676,-0.6380244479669739,0.5410359797617472,0.0,0.0,0.0
Burundi,BDI,Low income,2023,48.7,58.0,13689450.0,33.667,460882.71315,-0.36611921165513783,0.7238215418979774,-1.7848094337751736,1.0525710104648978,0.0,0.0,0.0
