country_code,country_name,year,indicator_name,value,source,retrieved_date
COL,Colombia,2014,literacy_rate,94.1900024414062,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COL,Colombia,2011,literacy_rate,93.5800018310547,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COL,Colombia,2010,literacy_rate,93.370002746582,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COL,Colombia,2009,literacy_rate,93.2399978637695,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COL,Colombia,2008,literacy_rate,93.379997253418,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COL,Colombia,2007,literacy_rate,92.6500015258789,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COL,Colombia,2006,literacy_rate,92.3000030517578,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COL,Colombia,2005,literacy_rate,92.8499984741211,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COL,Colombia,2004,literacy_rate,92.8000030517578,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COM,Comoros,2021,literacy_rate,75.6201980162165,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COM,Comoros,2014,literacy_rate,73.6494960644007,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COM,Comoros,2000,literacy_rate,68.25,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COD,"Congo, Dem. Rep.",2023,literacy_rate,68.5,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COD,"Congo, Dem. Rep.",2020,literacy_rate,65.6828744335957,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COD,"Congo, Dem. Rep.",2018,literacy_rate,73.5500030517578,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COD,"Congo, Dem. Rep.",2016,literacy_rate,77.0400009155273,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COD,"Congo, Dem. Rep.",2012,literacy_rate,75.0199966430664,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COD,"Congo, Dem. Rep.",2001,literacy_rate,67.1699981689453,UNESCO Institute for Statistics (via World Bank API),2026-09-02
COG,"Congo, Rep.",2005,literacy_rate,76.1100006103516,UNESCO Institute for Statistics (via World Bank API),2026-09-02
CRI,Costa Rica,2011,literacy_rate,97.4100036621094,UNESCO Institute for Statistics (via World Bank API),2026-09-02
CRI,Costa Rica,2000,literacy_rate,94.870002746582,UNESCO Institute for Statistics (via World Bank API),2026-09-02
CIV,Cote d'Ivoire,2021,literacy_rate,50.0,UNESCO Institute for Statistics (via World Bank API),2026-09-02
